frame,timestamp_s,cam_dist_m,lidar_bbox_dist_m,lidar_snap_dist_m,gt_dist_m,cam_error_m,lidar_error_m,lidar_snap_error_m,cam_latency_ms,lidar_latency_ms
159,59.2644,22.5097,,,17.3031,5.2066,,,21.95,1.03
160,59.3274,22.4741,12.2707,,17.2697,5.2043,4.9991,,15.19,1.33
161,59.3918,22.3218,,,17.2208,5.1010,,,12.20,1.09
162,59.4555,22.2467,,,17.1703,5.0765,,,16.69,1.10
163,59.5364,22.2212,12.2036,12.1364,17.0887,5.1325,4.8850,4.9522,13.88,0.97
164,59.6036,22.3013,,,17.0585,5.2428,,,14.80,1.25
165,59.6685,22.2911,,,17.0561,5.2350,,,10.48,1.05
166,59.7384,22.1317,11.3670,12.0339,17.0440,5.0877,5.6771,5.0101,19.84,2.47
167,59.8081,22.5151,,,17.0242,5.4909,,,15.97,1.07
168,59.8696,22.5542,,,16.9915,5.5628,,,11.17,1.12
169,59.9254,22.4413,,,16.9604,5.4809,,,10.12,0.78
170,59.9992,22.3986,,,16.9130,5.4856,,,20.32,1.18
171,60.0593,22.6735,,,16.8625,5.8110,,,10.17,0.85
172,60.1276,22.8164,11.7383,,16.7917,6.0247,5.0534,,19.34,0.86
173,60.1934,22.3738,,,16.7359,5.6379,,,12.84,1.07
174,60.2584,22.6767,,,16.7326,5.9441,,,14.62,0.97
175,60.3274,22.7630,11.7826,,16.7180,6.0450,4.9354,,15.28,0.84
176,60.3963,22.6886,,,16.6964,5.9922,,,14.76,1.11
177,60.4614,22.6133,,,16.6657,5.9476,,,14.56,0.97
178,60.5322,22.3646,11.7765,11.5974,16.6247,5.7400,4.8481,5.0273,13.23,1.05
179,60.5999,22.2160,,,16.5727,5.6433,,,15.43,1.25
180,60.6606,21.8705,,,16.5366,5.3338,,,10.07,0.98
181,60.7252,22.4986,11.7751,,16.5351,5.9635,4.7600,,15.46,0.83
182,60.7838,22.2604,11.6217,11.5373,16.5282,5.7322,4.9065,4.9909,9.88,1.31
183,60.8445,21.9881,,,16.5132,5.4749,,,12.09,1.52
184,60.9108,22.1202,,,16.4957,5.6245,,,13.38,0.91
185,60.9794,21.9175,11.5069,11.4728,16.4613,5.4561,4.9544,4.9885,14.68,0.91
186,61.0493,21.4976,,,16.4253,5.0723,,,19.60,1.24
187,61.1117,21.5325,,,16.4007,5.1319,,,13.08,1.92
188,61.1805,22.0977,11.3921,11.3769,16.3996,5.6980,5.0075,5.0228,15.70,0.93
189,61.2513,21.9320,,,16.3901,5.5420,,,15.67,1.23
190,61.3210,21.3930,,,16.3729,5.0201,,,16.78,0.94
191,61.3865,20.8014,10.2998,,16.3485,4.4529,6.0487,,17.25,1.22
192,61.4544,20.8983,,,16.3348,4.5634,,,16.84,1.06
193,61.5129,20.9817,,,16.3342,4.6474,,,10.31,0.98
194,61.5831,20.6968,11.2969,11.3063,16.3245,4.3722,5.0276,5.0182,15.25,0.92
195,61.6424,20.5635,13.9584,,16.3076,4.2559,2.3493,,10.69,1.66
196,61.7015,20.5813,,,16.3018,4.2796,,,17.52,1.18
197,61.7688,20.8547,,,16.3007,4.5540,,,15.78,1.01
198,61.8317,20.6850,11.2015,,16.2944,4.3906,5.0929,,13.87,1.27
199,61.8880,20.4145,13.1431,,16.2833,4.1312,3.1402,,11.57,1.39
200,61.9572,20.4306,,,16.2761,4.1545,,,13.76,1.17
201,62.0149,20.5076,,,16.2752,4.2324,,,9.16,1.16
202,62.0817,20.4725,11.2764,11.2550,16.2712,4.2012,4.9948,5.0163,15.28,1.60
203,62.1443,20.3454,,,16.2606,4.0848,,,14.62,1.20
204,62.2120,20.4480,,,16.2546,4.1934,,,15.01,0.89
205,62.2783,20.5478,11.2305,11.2467,16.2538,4.2940,5.0233,5.0071,14.77,0.98
206,62.3457,20.5568,,,16.2497,4.3071,,,17.60,1.14
207,62.4219,20.5168,,,16.2380,4.2788,,,21.97,0.98
208,62.4837,20.1406,11.2243,11.2194,16.2228,3.9178,4.9985,5.0034,15.74,1.15
209,62.5541,20.0047,,,16.2115,3.7932,,,19.39,1.31
210,62.6153,20.3165,,,16.2104,4.1061,,,13.54,0.83
211,62.6813,19.9895,11.1983,11.1886,16.2019,3.7876,5.0036,5.0134,18.01,1.28
212,62.7499,19.9302,,,16.1970,3.7332,,,19.06,1.13
213,62.8085,19.8130,,,16.1970,3.6160,,,9.07,1.03
214,62.8697,19.8457,,,16.1970,3.6487,,,13.16,0.96
215,62.9356,19.8559,10.0467,,16.1970,3.6589,6.1503,,14.36,1.24
216,63.0011,19.8872,,,16.1970,3.6902,,,12.64,1.35
217,63.0600,19.9362,,,16.1970,3.7392,,,10.52,1.17
218,63.1132,19.7803,,,16.1970,3.5833,,,10.85,0.77
219,63.1842,19.8569,10.1008,11.1764,16.1970,3.6599,6.0962,5.0206,15.76,1.17
220,63.2495,19.8285,,,16.1970,3.6315,,,13.34,1.42
221,63.3196,19.7873,,,16.1970,3.5903,,,17.85,2.06
222,63.3857,19.7967,11.2413,,16.1970,3.5997,4.9557,,10.78,1.18
223,63.4520,19.9014,,,16.1970,3.7045,,,13.72,2.39
224,63.5229,19.8161,,,16.1970,3.6191,,,20.33,2.01
225,63.5875,19.9024,12.3631,,16.1970,3.7054,3.8339,,15.36,1.20
226,63.6511,19.8796,,,16.1970,3.6826,,,10.58,1.15
227,63.7103,19.8648,,,16.1970,3.6678,,,15.24,1.14
228,63.7802,19.8777,11.0930,,16.1970,3.6807,5.1039,,13.25,1.00
229,63.8525,19.8354,,,16.1969,3.6384,,,19.37,1.36
230,63.9196,19.7807,,,16.1969,3.5838,,,16.72,1.09
231,64.0015,19.8124,,,16.1969,3.6155,,,23.46,1.72
232,64.0840,19.8607,10.4303,11.1861,16.1969,3.6638,5.7666,5.0109,13.36,1.20
233,64.1585,19.8393,,,16.1969,3.6424,,,21.01,0.85
234,64.2253,19.8044,,,16.1969,3.6075,,,19.62,1.25
235,64.2919,19.8022,10.2207,,16.1969,3.6053,5.9762,,14.63,2.64
236,64.3684,19.9550,,,16.1969,3.7581,,,20.60,0.98
237,64.4357,19.9569,11.1630,,16.1969,3.7599,5.0340,,16.70,1.31
238,64.4957,19.9269,,,16.1969,3.7300,,,10.88,1.08
239,64.5650,19.8424,,,16.1969,3.6454,,,20.81,0.97
240,64.6239,19.8211,,,16.1969,3.6242,,,10.25,1.11
241,64.6830,19.8223,13.3175,,16.1969,3.6253,2.8794,,9.92,1.24
242,64.7398,19.9237,,,16.1969,3.7268,,,14.39,1.22
243,64.8065,19.9598,,,16.1969,3.7628,,,14.14,1.07
244,64.8749,19.8760,11.2300,11.1693,16.1969,3.6790,4.9670,5.0276,14.20,0.88
245,64.9398,19.9113,,,16.1969,3.7144,,,13.37,1.11
246,65.0024,19.9804,,,16.1969,3.7834,,,10.56,0.87
247,65.0620,19.9801,,,16.1969,3.7831,,,13.10,1.06
248,65.1274,19.9978,11.0940,,16.1969,3.8009,5.1030,,13.71,0.85
249,65.2003,19.9425,,,16.1969,3.7455,,,14.39,1.66
250,65.2627,19.9653,,,16.1969,3.7683,,,10.75,0.84
251,65.3202,19.8774,,,16.1969,3.6804,,,10.58,0.96
252,65.3903,19.9350,10.0841,,16.1969,3.7380,6.1129,,17.96,1.36
253,65.4601,19.8846,,,16.1969,3.6877,,,15.31,1.23
254,65.5386,19.9409,10.2571,,16.1969,3.7440,5.9398,,19.21,1.27
255,65.6154,19.9354,,,16.1969,3.7385,,,17.15,1.10
256,65.6783,19.9237,11.1756,11.1631,16.1969,3.7267,5.0214,5.0338,14.70,0.94
257,65.7386,19.8224,,,16.1969,3.6254,,,9.05,1.17
258,65.8041,19.8995,,,16.1969,3.7026,,,19.47,0.88
259,65.8692,19.8789,,,16.1969,3.6820,,,12.92,1.11
260,65.9293,19.8297,11.1176,,16.1969,3.6327,5.0793,,11.89,1.09
261,65.9862,19.9347,10.1155,,16.1969,3.7377,6.0815,,9.17,1.15
262,66.0498,19.8124,,,16.1969,3.6154,,,16.80,1.17
263,66.1114,19.7886,,,16.1969,3.5917,,,17.68,0.94
264,66.1684,19.8345,,,16.1969,3.6375,,,9.01,1.11
265,66.2271,19.8677,11.1201,11.2116,16.1969,3.6708,5.0768,4.9854,11.61,1.12
