frame,timestamp_s,cam_dist_m,lidar_bbox_dist_m,gt_dist_m,cam_error_m,lidar_error_m,cam_latency_ms,lidar_latency_ms
147,52.8417,27.3973,,33.1336,5.7363,,9.44,1.01
148,52.8885,28.2478,,33.1934,4.9456,,10.99,1.20
149,52.9359,28.2113,,33.2516,5.0403,,10.92,1.40
150,52.9826,28.4045,,33.3071,4.9026,,11.29,1.55
151,53.0301,28.4879,,33.3655,4.8776,,11.99,1.19
152,53.0876,27.6076,,33.4326,5.8250,,17.59,1.33
153,53.1509,30.3650,,33.5378,3.1727,,18.76,1.26
154,53.2145,29.7584,,33.6321,3.8737,,21.86,3.23
155,53.2844,30.4368,,33.7338,3.2971,,15.92,1.58
156,53.3314,30.4492,,33.8069,3.3578,,10.71,1.45
157,53.3931,30.1142,,33.8927,3.7785,,21.73,1.10
158,53.4480,28.2171,,33.9503,5.7332,,18.06,1.15
159,53.4995,28.3768,,34.0194,5.6427,,11.57,1.05
160,53.5462,28.2962,,34.0729,5.7767,,10.14,0.93
161,53.5944,28.5302,,34.1306,5.6004,,11.26,1.09
162,53.6453,28.4136,,34.1875,5.7739,,9.07,1.05
163,53.7012,29.4226,,34.2665,4.8438,,10.54,1.31
164,53.7605,30.6402,13.3915,34.3514,3.7112,20.9599,16.47,1.23
165,53.8179,30.4318,12.7910,34.4352,4.0034,21.6442,17.17,0.85
166,53.8675,,12.8073,34.5041,,21.6968,12.34,0.93
167,53.9201,,12.8309,34.5844,,21.7535,11.92,0.93
168,53.9662,,,34.6570,,,10.40,1.16
169,54.0152,,12.8511,34.7389,,21.8878,12.88,1.17
170,54.0647,,12.8890,34.8192,,21.9302,10.60,1.38
171,54.1311,,,34.9455,,,18.40,1.08
172,54.1841,,,35.0186,,,10.75,1.51
173,54.2296,,,35.0862,,,10.42,1.11
174,54.2936,,,35.1958,,,21.76,1.46
175,54.3541,,,35.2639,,,19.52,1.81
176,54.4157,30.9324,,35.3687,4.4363,,19.34,2.61
177,54.4767,,,35.4573,,,19.41,1.38
178,54.5327,,,35.5439,,,13.58,1.12
179,54.5905,,,35.6095,,,17.51,1.61
180,54.6550,31.7840,,35.7063,3.9223,,14.18,1.28
181,54.7035,32.0738,,35.7655,3.6917,,11.34,1.14
182,54.7586,32.1914,,35.8360,3.6446,,12.86,1.31
183,54.8206,31.7661,,35.9125,4.1464,,16.81,1.01
184,54.8789,31.6504,,35.9836,4.3332,,12.94,1.28
185,54.9321,31.0974,,36.0440,4.9466,,18.73,1.30
186,54.9838,31.6691,,36.0870,4.4178,,13.14,1.45
187,55.0322,31.7793,,36.1279,4.3486,,12.91,1.41
188,55.0816,31.9873,,36.1664,4.1791,,12.18,1.46
189,55.1283,,,36.2029,,,11.41,1.29
190,55.1821,33.0604,,36.2424,3.1820,,15.88,1.42
191,55.2300,33.5162,,36.2779,2.7617,,12.37,1.26
192,55.2823,33.7632,11.8278,36.3127,2.5495,24.4849,8.81,1.01
193,55.3357,33.5408,,36.3605,2.8197,,12.74,1.41
194,55.3958,32.8618,,36.4149,3.5531,,12.93,1.06
195,55.4549,33.2700,,36.4634,3.1934,,16.27,1.26
196,55.5032,,,36.4984,,,12.68,1.35
197,55.5494,33.0128,,36.5267,3.5138,,10.37,1.33
198,55.5959,32.7677,,36.5535,3.7858,,11.50,0.97
199,55.6473,34.2008,,36.5825,2.3817,,9.17,1.43
200,55.7008,34.7554,,36.6058,1.8503,,8.94,1.19
201,55.7592,34.8894,,36.6360,1.7466,,9.67,1.27
202,55.8143,34.3892,,36.6641,2.2749,,8.63,1.39
203,55.8716,34.3640,20.8303,36.6983,2.3343,15.8679,10.27,0.87
204,55.9200,34.1239,,36.7196,2.5957,,12.67,0.78
205,55.9658,34.8112,,36.7326,1.9215,,8.60,1.24
206,56.0182,35.0894,11.1860,36.7474,1.6580,25.5615,11.48,1.31
207,56.0693,34.7301,11.7659,36.7591,2.0290,24.9932,9.05,1.34
208,56.1220,35.4060,12.6309,36.7781,1.3720,24.1472,11.28,0.92
209,56.1705,,,36.8052,,,11.37,0.93
210,56.2205,,13.0513,36.8419,,23.7907,10.95,1.27
211,56.2892,36.9733,,36.9173,0.0560,,20.70,3.11
212,56.3377,37.6686,,36.9762,0.6924,,13.23,1.27
213,56.3969,,,37.0711,,,12.68,0.87
214,56.4526,,,37.1702,,,11.00,1.25
215,56.4995,,,37.2569,,,13.34,1.14
216,56.5468,,,37.3489,,,11.93,0.98
217,56.6065,,,37.4619,,,17.65,1.22
218,56.6614,,,37.5962,,,12.85,1.33
219,56.7191,,13.9858,37.7309,,23.7452,21.00,1.95
220,56.7860,,,37.8974,,,16.40,1.57
221,56.8434,,,38.0457,,,21.25,1.99
222,56.8990,,,38.1941,,,12.27,1.00
223,56.9571,,,38.3607,,,11.75,1.14
224,57.0043,,,38.4958,,,11.42,1.30
225,57.0518,,,38.6320,,,11.76,1.15
226,57.0980,,,38.7480,,,9.42,1.39
227,57.1573,,,38.9482,,,16.64,1.41
228,57.2062,35.7263,,39.0789,3.3527,,11.46,1.26
229,57.2587,35.4450,,39.2119,3.7669,,16.72,1.26
230,57.3084,,,39.3778,,,8.58,1.21
231,57.3640,,,39.4959,,,11.81,1.35
232,57.4193,,16.0128,39.6443,,23.6314,13.08,1.01
233,57.4708,,11.1712,39.7782,,28.6070,13.65,1.00
234,57.5321,,,39.9328,,,17.68,1.38
235,57.5895,,,40.0795,,,12.57,1.34
236,57.6465,,,40.2366,,,12.49,0.98
237,57.7028,,,40.3902,,,13.82,1.06
238,57.7638,,,40.5569,,,15.92,1.36
239,57.8175,,13.3041,40.7223,,27.4182,10.10,0.90
240,57.8656,,,40.8735,,,10.73,1.36
241,57.9182,,10.9371,41.0047,,30.0675,12.63,0.94
242,57.9755,,11.2152,41.1873,,29.9721,18.62,1.73
243,58.0366,,,41.3587,,,14.45,1.44
244,58.0881,,,41.5073,,,12.61,1.33
245,58.1457,,,41.6885,,,12.21,0.96
246,58.1941,,,41.8380,,,12.98,1.02
247,58.2581,,,42.0469,,,17.94,2.85
248,58.3129,,11.3052,42.2278,,30.9226,17.43,1.07
249,58.3661,,11.6436,42.3738,,30.7302,10.87,1.12
250,58.4141,,11.8963,42.5248,,30.6285,10.81,1.22
